iter	Logloss
0	0.6779819303
1	0.663188992
2	0.6493021072
3	0.6351999671
4	0.622321736
5	0.610064881
6	0.5978516319
7	0.5859073976
8	0.5749724283
9	0.5640821044
10	0.5531176549
11	0.54347907
12	0.5332665834
13	0.522411055
14	0.512749593
15	0.5030036983
16	0.4936691768
17	0.4853659997
18	0.4766232162
19	0.4683012346
20	0.4605682013
21	0.4527416927
22	0.4451481297
23	0.438089228
24	0.4310690468
25	0.4238975798
26	0.4172742147
27	0.4110159489
28	0.4042778619
29	0.3980267715
30	0.3915152611
31	0.3855975771
32	0.3800319394
33	0.3740498422
34	0.368441272
35	0.3632090427
36	0.3581297383
37	0.3530670403
38	0.348216295
39	0.3433624215
40	0.3392881806
41	0.3347211536
42	0.3305108559
43	0.3262144772
44	0.3216094664
45	0.317950761
46	0.3141107689
47	0.3104961874
48	0.3065005987
49	0.3020407613
50	0.2985360196
51	0.2947591783
52	0.2911320766
53	0.2876726184
54	0.2848179865
55	0.2818050609
56	0.2788114851
57	0.2763996737
58	0.2737714612
59	0.2708558827
60	0.2685711715
61	0.2659036219
62	0.2632227224
63	0.2609658479
64	0.2583735027
65	0.2560730886
66	0.2539112878
67	0.2515995018
68	0.2496151421
69	0.2480176044
70	0.2456632439
71	0.2439899863
72	0.2423734804
73	0.2408761126
74	0.2394195576
75	0.2372931699
76	0.2354551822
77	0.2340999631
78	0.2322670728
79	0.2309778499
80	0.2295052721
81	0.2278887929
82	0.226537223
83	0.2249193822
84	0.2237963285
85	0.2222707329
86	0.2208008475
87	0.2197189183
88	0.2183360099
89	0.217228777
90	0.2160310652
91	0.214673488
92	0.2133132933
93	0.2120222392
94	0.2109847692
95	0.2098064049
96	0.2085717571
97	0.2076996666
98	0.2066878241
99	0.2055538726
100	0.2046777118
101	0.2039887648
102	0.2029538537
103	0.2019487628
104	0.2012548103
105	0.2004296742
106	0.1994412085
107	0.1985418872
108	0.1976751535
109	0.196723855
110	0.1960992501
111	0.1953394594
112	0.1946516489
113	0.1941414063
114	0.1934108227
115	0.1926873765
116	0.1921704544
117	0.1914638133
118	0.1904885217
119	0.1900656205
120	0.1893760431
121	0.1886608778
122	0.1880816864
123	0.1874388306
124	0.1869123025
125	0.1863655099
126	0.1858429349
127	0.1854943718
128	0.1848697824
129	0.1842521885
130	0.1837144036
131	0.1831318314
132	0.1824328461
133	0.1818994677
134	0.1812249418
135	0.1807780196
136	0.1803337749
137	0.1799945986
138	0.1796036495
139	0.1789646822
140	0.1784639908
141	0.1779496869
142	0.1775661942
143	0.1772400677
144	0.1766639844
145	0.1761060844
146	0.1757768725
147	0.1751947953
148	0.1748104995
149	0.1743692166
150	0.1740180141
151	0.17369052
152	0.1732601526
153	0.1729442041
154	0.1725749246
155	0.1722699814
156	0.1719667965
157	0.1715292317
158	0.1712434323
159	0.1708327307
160	0.1705268931
161	0.1701269943
162	0.1697171808
163	0.1693968706
164	0.1690398253
165	0.1686574823
166	0.1683882465
167	0.1681332624
168	0.1678466736
169	0.1675440329
170	0.1672938692
171	0.1669985367
172	0.1667136645
173	0.1663692783
174	0.1660339489
175	0.1658169998
176	0.165654218
177	0.1654408318
178	0.1651667329
179	0.1649817139
180	0.1647310331
181	0.1644564775
